EXP_ID	FILES_KEY	CLASS	NUCL.dna.AREA	NUCL.dna.INT_MEAN	NUCL.dna.INT_STDEV	NUCL.dna.INT_MEDIAN	NUCL.dna.FERET	NUCL.dna.INT_DENSITY	NUCL.dna.RND	NUCL.dna.ASPECTRATIO	NUCL.dna.X	NUCL.dna.Y	VORO.dna.AREA	VORO.dna.INT_MEAN	VORO.dna.INT_STDEV	VORO.dna.INT_MEDIAN	VORO.dna.FERET	VORO.dna.INT_DENSITY	VORO.dna.RND	VORO.dna.ASPECTRATIO	VORO.dna.X	VORO.dna.Y	CYTO.dna.INT_MEAN	CYTO.dna.FERET	CYTO.dna.AREA	NUCL.protein3.AREA	NUCL.protein3.INT_MEAN	NUCL.protein3.INT_STDEV	NUCL.protein3.INT_MEDIAN	NUCL.protein3.FERET	NUCL.protein3.INT_DENSITY	NUCL.protein3.RND	NUCL.protein3.ASPECTRATIO	NUCL.protein3.X	NUCL.protein3.Y	VORO.protein3.AREA	VORO.protein3.INT_MEAN	VORONOI.protein3.INT_STDEV	VORONOI.protein3.INT_MEDIAN	VORONOI.protein3.FERET	VORONOI.protein3.INT_DEN	VORONOI.protein3.ROUND	VORONOI.protein3.AR	VORONOI.protein3.CENTRE_X	VORONOI.protein3.CENTRE_Y	CYTO.protein3.INT_MEDIAN_VOROONLY	CYTO.protein3.FERET	CYTO.protein3.AREA
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	2300	3817.4335	394.4938	4013	59.3633	8780097	0.8616	1.1606	1760.443	111.1713	66532	259.7391	694.0463	115	373.8409	17280963	0.662	1.5105	1883.1368	121.5697	284	373.8409	1950	2300	372.9274	94.3496	366	59.3633	857733	0.8616	1.1606	1760.443	111.1713	66532	31.262	84.6485	0	373.8409	2079922	0.662	1.5105	1883.1368	121.5697	117	373.8409	7711
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	2163	3809.3241	412.5108	4095	62.2415	8239568	0.7022	1.424	1668.0132	190.3793	27462	451.155	1018.295	123	266.3907	12389619	0.5361	1.8652	1718.2943	257.2353	305	266.3907	1710	2163	573.3329	136.385	565	62.2415	1240119	0.7022	1.424	1668.0132	190.3793	27462	97.0773	175.9854	1	266.3907	2665938	0.5361	1.8652	1718.2943	257.2353	209	266.3907	6317
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1326	3792.3673	756.4855	4095	48.2701	5028679	0.7876	1.2697	1572.3341	282.0739	24040	369.8876	889.9939	123	293.411	8892097	0.3872	2.5827	1632.1185	339.1518	363	293.411	1308	1326	485.911	120.0671	473	48.2701	644318	0.7876	1.2697	1572.3341	282.0739	24040	90.5858	166.0645	0	293.411	2177683	0.3872	2.5827	1632.1185	339.1518	237	293.411	5684
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1993	3517.2022	477.3824	3541	58.6686	7009784	0.7486	1.3359	1499.1528	468.4604	29510	381.984	881.5995	122	324.8877	11272349	0.4155	2.4069	1570.6825	473.125	351	324.8877	1129	1993	393.2745	100.7092	389	58.6686	783796	0.7486	1.3359	1499.1528	468.4604	29510	64.0312	110.6543	9	324.8877	1889562	0.4155	2.4069	1570.6825	473.125	88	324.8877	9410
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1505	2429.1834	411.165	2389	46.1736	3655921	0.9554	1.0467	1548.9425	621.1585	89425	159.7629	318.4711	112	511.4343	14286801	0.6047	1.6537	1687.9808	661.915	268	511.4343	1206	1505	434.0831	88.546	433	46.1736	653295	0.9554	1.0467	1548.9425	621.1585	89425	23.2368	69.6336	0	511.4343	2077953	0.6047	1.6537	1687.9808	661.915	95	511.4343	8720
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	2001	2705.7756	432.2539	2674	61.4003	5414257	0.6826	1.4651	1494.9833	919.1017	68815	198.8289	457.5037	111	520.6035	13682408	0.3194	3.1308	1696.7296	891.7542	251	520.6035	1495	2001	365.4748	78.0986	365	61.4003	731315	0.6826	1.4651	1494.9833	919.1017	68815	30.5481	82.6215	0	520.6035	2102168	0.3194	3.1308	1696.7296	891.7542	172	520.6035	6026
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	2043	2558.4131	485.0008	2527	65.3911	5226838	0.6793	1.4721	1501.5255	1024.9278	55116	212.8111	484.246	109	473.5103	11729298	0.3799	2.6322	1703.9054	1032.7282	399	473.5103	1002	2043	392.8967	74.1456	397	65.3911	802688	0.6793	1.4721	1501.5255	1024.9278	55116	38.5748	103.1213	0	473.5103	2126088	0.3799	2.6322	1703.9054	1032.7282	239	473.5103	4891
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	2639	2973.7545	674.2465	2992	89.8109	7847738	0.4171	2.3973	1466.6917	1069.9286	49378	283.4318	671.478	111	410.6507	13995296	0.5112	1.9563	1613.8752	1170.5655	341	410.6507	2095	2639	619.6124	112.4859	608	89.8109	1635157	0.4171	2.3973	1466.6917	1069.9286	49378	73.316	177.5166	0	410.6507	3620196	0.5112	1.9563	1613.8752	1170.5655	334	410.6507	5808
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1660	1773.4994	265.1463	1779	53.7587	2944009	0.7525	1.329	1413.4657	1378.1392	60862	173.7284	289.2083	114	397.2468	10573456	0.5347	1.8701	1537.5256	1348.8723	496	397.2468	1445	1660	477.6102	100.4996	478	53.7587	792833	0.7525	1.329	1413.4657	1378.1392	60862	78.7631	143.6519	1	397.2468	4793679	0.5347	1.8701	1537.5256	1348.8723	229	397.2468	15982
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1565	2031.5029	473.5652	2023	56.7274	3179302	0.6529	1.5315	1393.778	1467.7709	53286	185.8494	348.5302	114	354.5391	9903169	0.6185	1.6169	1511.57	1526.5432	513	354.5391	1138	1565	404.7968	79.4588	404	56.7274	633507	0.6529	1.5315	1393.778	1467.7709	53286	66.4902	126.8789	0	354.5391	3542995	0.6185	1.6169	1511.57	1526.5432	226	354.5391	11762
