NORM_D	NORM_A	is_border
-0.26347599	-0.294133267	0
-0.442106991	-0.313832725	0
-0.380933836	-0.310577558	0
-0.382387421	-0.305475413	0
-0.38186621	-0.292617855	0
-0.172600519	7.57635251	0
-0.321798303	-0.313145554	0
-0.288197991	-0.325773333	0
-0.434009409	-0.329210875	0
-0.216260898	-0.307803744	0
-0.414903834	-0.323917031	0
-0.186171069	-0.279398767	0
-0.012322105	-0.111653941	0
-0.098664731	-0.328280636	0
-0.220390404	-0.298883867	0
-0.353387211	-0.283330628	0
-0.34199528	-0.305998131	0
-0.352260655	-0.322482895	0
-0.331771824	-0.322025179	0
-0.331481252	-0.305842934	0
-0.318448171	-0.277971227	0
-0.117329011	-0.325409588	0
-0.266250575	-0.298552737	0
-0.069748231	-0.297321693	0
-0.209708234	-0.320307222	0
-0.235722132	-0.316329154	0
-0.294644456	-0.307096734	0
-0.290979828	-0.314957005	0
-0.331621165	-0.208557714	0
-0.394757097	-0.29514175	0
-0.346335922	-0.268865346	0
-0.312149002	-0.291742236	0
-0.173642446	-0.306008284	0
-0.385077596	-0.273070493	0
-0.294877939	-0.293020915	0
-0.346304937	-0.301663663	0
-0.398011898	-0.284910184	0
-0.321810882	-0.305943686	0
-0.271976617	-0.309041385	0
-0.379595574	-0.279654476	0
-0.436829446	-0.260676093	0
-0.279084249	-0.301815501	0
-0.279427938	-0.303328742	0
-0.247670321	-0.241059274	0
-0.18655608	-0.321499022	0
-0.360380784	-0.265335709	0
-0.263315719	-0.307109739	0
-0.172932764	-0.288888492	0
-0.218725843	-0.314332463	0
-0.405144433	-0.310979842	0
-0.226253067	-0.194415765	0
-0.255982061	-0.323764469	0
-0.076237684	-0.293625383	0
-0.295804327	-0.308527328	0
0.055969171	-0.267550378	0
-0.404134681	-0.307889339	0
-0.340990328	-0.297274398	0
-0.420353941	-0.252421763	0
-0.158924916	-0.313876519	0
-0.215894434	-0.308120551	0
-0.376392241	-0.312977275	0
-0.341188216	0.80777092	0
-0.193297495	-0.285604983	0
-0.287303387	-0.299097354	0
-0.308793014	-0.306325484	0
-0.280713472	-0.283536247	0
-0.411981736	-0.290511424	0
-0.324529004	-0.311452124	0
-0.247919312	-0.313188369	0
-0.397796091	-0.30039422	0
-0.353242634	-0.294270654	0
-0.229709956	-0.294013439	0
-0.395173738	-0.279584178	0
-0.383196136	-0.316551067	0
-0.370229306	-0.302033291	0
-0.189021778	-0.296305433	0
-0.38068893	-0.282323498	0
-0.432320506	-0.292061194	0
-0.322603554	-0.290626467	0
-0.419302331	-0.285395488	0
-0.338464808	-0.27295052	0
-0.366879852	-0.286084539	0
-0.262479797	-0.242445514	0
-0.293787701	-0.284648909	0
-0.399977674	-0.288272082	0
-0.315080393	-0.255259261	0
-0.398751171	-0.240785993	0
-0.306511658	-0.264958741	0
-0.455773556	-0.256941056	0
-0.145441107	-0.273939384	0
-0.201156715	-0.272354011	0
-0.275191089	-0.318545201	0
-0.240095322	-0.282994107	0
-0.243642036	-0.288701205	0
-0.294714877	-0.305662513	0
-0.424827922	-0.22014862	0
-0.423522704	-0.291481333	0
-0.38389277	-0.305565817	0
-0.454443454	-0.207734227	0
-0.410688972	-0.268134806	0
-0.404588891	-0.301518801	0
-0.412177548	-0.285195819	0
-0.425289478	-0.26616516	0
-0.360472689	-0.247310437	0
