Av	D	is_border
7694	14.98141195	0
11286	1.841620509	0
12843	6.341413316	0
8201	6.234490114	0
5005	6.272829452	0
17431	21.6660564	0
12349	10.6913222	0
11879	13.16290376	0
12107	2.437264789	0
9281	18.45447346	0
8629	3.842638288	0
15310	20.66782991	0
11161	33.45586295	0
10214	27.10464673	0
7230	18.15071406	0
4304	8.367696049	0
6331	9.205667057	0
16369	8.45056357	0
11474	9.957687029	0
7813	9.979060958	0
6576	10.93775219	0
13824	25.73173423	0
7111	14.77731824	0
9711	29.23169516	0
13531	18.9364763	0
14316	17.02293833	0
8870	12.68871282	0
11485	12.95827654	0
18143	9.968769249	0
9281	5.324597857	0
6281	8.886376781	0
7875	11.40110828	0
16647	21.58941405	0
6470	6.036605388	0
5880	12.67153819	0
7118	8.888655981	0
5491	5.085180218	0
10775	10.69039689	0
20982	14.35612035	0
6320	6.439853584	0
6163	2.229827655	0
5663	13.83329508	0
5406	13.80801391	0
8457	16.14404995	0
12523	20.63950919	0
5460	7.85326074	0
7476	14.99320121	0
11151	21.64161709	0
11624	18.27315634	0
10539	4.56052315	0
17725	17.71946657	0
10463	15.53265258	0
15003	28.75434208	0
9238	12.60339468	0
23531	38.47925258	0
10300	4.634798757	0
11463	9.279589591	0
3879	3.441737738	0
11539	22.67201046	0
13598	18.48142997	0
9580	6.675485304	0
8768	9.265033303	0
5267	20.14362218	0
5020	13.22870929	0
3833	11.64796902	0
3569	13.71345219	0
7895	4.057582812	0
10311	10.49045646	0
6440	16.1257346	0
7790	5.101054637	0
7426	8.37833088	0
8216	17.46518377	0
9202	5.293950469	0
7934	6.175002389	0
6229	7.128820268	0
7984	20.45813664	0
5078	6.359428166	0
4360	2.561497593	0
6356	10.63208928	0
4423	3.519092333	0
7067	9.465362511	0
4478	7.375200414	0
8834	15.05469021	0
6618	12.75173425	0
4442	4.940581116	0
6363	11.18548015	0
6706	5.030800567	0
8304	11.8157817	0
4804	0.836331286	0
5942	23.66385642	0
6396	19.56551139	0
8374	14.11966925	0
4781	16.70125396	0
5381	16.44036371	0
7765	12.68353278	0
5148	3.112639295	0
2922	3.208648878	0
4556	6.12375922	0
4071	0.934171344	0
3436	4.152676353	0
3294	4.601387897	0
4531	4.04317924	0
3398	3.078688049	0
2411	7.846500393	0
2614	5.404472515	0
3782	11.31729058	0
7412	14.60135674	0
4767	5.136333433	0
2840	2.243690964	0
3123	3.740191013	0
3244	2.648217674	0
3736	8.705826078	0
4133	4.930909817	0
3325	8.045019431	0
5352	9.282431505	0
3460	4.889986152	0
5285	10.33368668	0
3260	4.168406777	0
4528	4.173726638	0
6463	13.91884161	0
4474	4.312386293	0
4898	2.756340358	0
4841	4.990704128	0
2776	3.400434575	0
4585	2.491184104	0
3515	8.004654999	0
4501	9.552706156	0
6932	7.822331751	0
3935	11.66679325	0
5703	16.73216836	0
5901	6.598967896	0
3070	6.984906957	0
4128	3.743696351	0
4267	8.080243433	0
2887	3.465011384	0
2577	7.535478161	0
2436	2.087226495	0
3980	0.344614059	0
2982	5.56174413	0
5062	2.906641817	0
3410	3.004076692	0
3819	1.641951826	0
2535	5.79648942	0
2590	3.734511465	0
2743	5.995370455	0
4174	4.242497968	0
2855	5.667235835	0
3338	5.048197109	0
3132	5.593674664	0
3909	4.753362899	0
3064	4.160858225	0
3454	3.742938318	0
3099	1.407675747	0
3152	0.96808808	0
3959	4.289925189	0
3460	6.144379797	0
3710	4.487564998	0
2590	8.255171262	0
2785	9.93712844	0
2644	3.009910166	0
2596	2.354414256	0
4278	9.640746872	0
4276	8.544899026	0
3538	7.522243966	0
3603	7.861464435	0
2542	4.617032434	0
3708	3.875665316	0
4239	2.624821855	0
3183	5.767913878	0
2419	4.028326631	0
3234	2.481524187	0
1986	4.503524196	0
3173	4.859900556	0
3384	5.077063413	0
3947	9.733053515	0
3606	8.334059218	0
3432	3.811670513	0
2824	8.877046099	0
3275	5.972678126	0
2252	1.020607917	0
2602	2.071299517	0
2782	1.760716184	0
2292	4.062025153	0
2520	7.421334986	0
1741	5.514222782	0
1634	5.241767049	0
2906	7.020613628	0
2657	2.706629278	0
2425	6.268982401	0
2685	3.578901018	0
1745	3.88643117	0
