Ac	D	Av	is_border
5661	14.98141195	7694	0
9061	1.841620509	11286	0
10158	6.341413316	12843	0
6339	6.234490114	8201	0
3659	6.272829452	5005	0
373	21.6660564	17431	0
9883	10.6913222	12349	0
10095	13.16290376	11879	0
10465	2.437264789	12107	0
7249	18.45447346	9281	0
7267	3.842638288	8629	0
10602	20.66782991	15310	0
4629	33.45586295	11161	0
8788	27.10464673	10214	0
5429	18.15071406	7230	0
3028	8.367696049	4304	0
4905	9.205667057	6331	0
13690	8.45056357	16369	0
9575	9.957687029	11474	0
6049	9.979060958	7813	0
4528	10.93775219	6576	0
11727	25.73173423	13824	0
5332	14.77731824	7111	0
7243	29.23169516	9711	0
11199	18.9364763	13531	0
11628	17.02293833	14316	0
6906	12.68871282	8870	0
9269	12.95827654	11485	0
9794	9.968769249	18143	0
6858	5.324597857	9281	0
4174	8.886376781	6281	0
5736	11.40110828	7875	0
12898	21.58941405	16647	0
4370	6.036605388	6470	0
4306	12.67153819	5880	0
5410	8.888655981	7118	0
3888	5.085180218	5491	0
8346	10.69039689	10775	0
16480	14.35612035	20982	0
4381	6.439853584	6320	0
3971	2.229827655	6163	0
4307	13.83329508	5663	0
4139	13.80801391	5406	0
5079	16.14404995	8457	0
10424	20.63950919	12523	0
3580	7.85326074	5460	0
5821	14.99320121	7476	0
8026	21.64161709	11151	0
9354	18.27315634	11624	0
8351	4.56052315	10539	0
9165	17.71946657	17725	0
8805	15.53265258	10463	0
11015	28.75434208	15003	0
7239	12.60339468	9238	0
15559	38.47925258	23531	0
8048	4.634798757	10300	0
8548	9.279589591	11463	0
2425	3.441737738	3879	0
9266	22.67201046	11539	0
10636	18.48142997	13598	0
7661	6.675485304	9580	0
1137	9.265033303	8768	0
3740	20.14362218	5267	0
3773	13.22870929	5020	0
2974	11.64796902	3833	0
2513	13.71345219	3569	0
5721	4.057582812	7895	0
8188	10.49045646	10311	0
5155	16.1257346	6440	0
5888	5.101054637	7790	0
5467	8.37833088	7426	0
6042	17.46518377	8216	0
6377	5.293950469	9202	0
6451	6.175002389	7934	0
4742	7.128820268	6229	0
5929	20.45813664	7984	0
3558	6.359428166	5078	0
3180	2.561497593	4360	0
4608	10.63208928	6356	0
3138	3.519092333	4423	0
4771	9.465362511	7067	0
3186	7.375200414	4478	0
5331	15.05469021	8834	0
4681	12.75173425	6618	0
3189	4.940581116	4442	0
4019	11.18548015	6363	0
6	5.030800567	6706	0
5437	11.8157817	8304	0
3053	0.836331286	4804	0
4027	23.66385642	5942	0
4308	19.56551139	6396	0
6873	14.11966925	8374	0
3359	16.70125396	4781	0
3870	16.44036371	5381	0
6007	12.68353278	7765	0
2883	3.112639295	5148	0
2126	3.208648878	2922	0
3523	6.12375922	4556	0
2192	0.934171344	4071	0
2277	4.152676353	3436	0
2502	4.601387897	3294	0
3212	4.04317924	4531	0
2235	3.078688049	3398	0
1480	7.846500393	2411	0
1758	5.404472515	2614	0
2402	11.31729058	3782	0
5974	14.60135674	7412	0
3466	5.136333433	4767	0
1711	2.243690964	2840	0
2158	3.740191013	3123	0
1272	2.648217674	3244	0
2569	8.705826078	3736	0
2882	4.930909817	4133	0
1985	8.045019431	3325	0
3159	9.282431505	5352	0
2308	4.889986152	3460	0
3846	10.33368668	5285	0
2150	4.168406777	3260	0
3020	4.173726638	4528	0
5404	13.91884161	6463	0
3297	4.312386293	4474	0
3630	2.756340358	4898	0
3541	4.990704128	4841	0
1750	3.400434575	2776	0
3494	2.491184104	4585	0
2338	8.004654999	3515	0
3146	9.552706156	4501	0
5114	7.822331751	6932	0
2691	11.66679325	3935	0
4034	16.73216836	5703	0
4103	6.598967896	5901	0
2216	6.984906957	3070	0
3144	3.743696351	4128	0
2953	8.080243433	4267	0
1738	3.465011384	2887	0
1653	7.535478161	2577	0
1284	2.087226495	2436	0
2700	0.344614059	3980	0
1874	5.56174413	2982	0
3754	2.906641817	5062	0
2481	3.004076692	3410	0
2430	1.641951826	3819	0
1521	5.79648942	2535	0
1342	3.734511465	2590	0
1737	5.995370455	2743	0
2911	4.242497968	4174	0
1633	5.667235835	2855	0
2247	5.048197109	3338	0
1873	5.593674664	3132	0
2510	4.753362899	3909	0
1891	4.160858225	3064	0
2335	3.742938318	3454	0
2057	1.407675747	3099	0
2272	0.96808808	3152	0
2635	4.289925189	3959	0
2054	6.144379797	3460	0
2259	4.487564998	3710	0
1406	8.255171262	2590	0
1629	9.93712844	2785	0
1584	3.009910166	2644	0
1509	2.354414256	2596	0
2771	9.640746872	4278	0
3110	8.544899026	4276	0
2088	7.522243966	3538	0
2343	7.861464435	3603	0
1468	4.617032434	2542	0
2508	3.875665316	3708	0
2905	2.624821855	4239	0
1903	5.767913878	3183	0
976	4.028326631	2419	0
1965	2.481524187	3234	0
