D	Av/Ac	is_border
14.98141195	1.35912383	0
1.841620509	1.245557885	0
6.341413316	1.264323686	0
6.234490114	1.293737183	0
6.272829452	1.367860071	0
21.6660564	46.73190349	0
10.6913222	1.249519377	0
13.16290376	1.176721149	0
2.437264789	1.156903966	0
18.45447346	1.280314526	0
3.842638288	1.187422595	0
20.66782991	1.444067157	0
33.45586295	2.41110391	0
27.10464673	1.162266727	0
18.15071406	1.331736968	0
8.367696049	1.421400264	0
9.205667057	1.290723751	0
8.45056357	1.195690285	0
9.957687029	1.198328982	0
9.979060958	1.291618449	0
10.93775219	1.45229682	0
25.73173423	1.178818112	0
14.77731824	1.333645911	0
29.23169516	1.340742786	0
18.9364763	1.208232878	0
17.02293833	1.231166151	0
12.68871282	1.284390385	0
12.95827654	1.239076492	0
9.968769249	1.85246069	0
5.324597857	1.353310003	0
8.886376781	1.504791567	0
11.40110828	1.37290795	0
21.58941405	1.290665219	0
6.036605388	1.480549199	0
12.67153819	1.365536461	0
8.888655981	1.315711645	0
5.085180218	1.412294239	0
10.69039689	1.291037623	0
14.35612035	1.273179612	0
6.439853584	1.442593015	0
2.229827655	1.552002015	0
13.83329508	1.314836313	0
13.80801391	1.306112588	0
16.14404995	1.665091553	0
20.63950919	1.201362241	0
7.85326074	1.525139665	0
14.99320121	1.28431541	0
21.64161709	1.389359581	0
18.27315634	1.24267693	0
4.56052315	1.26200455	0
17.71946657	1.933987998	0
15.53265258	1.188302101	0
28.75434208	1.362051748	0
12.60339468	1.276143114	0
38.47925258	1.51237226	0
4.634798757	1.279821074	0
9.279589591	1.341015442	0
3.441737738	1.599587629	0
22.67201046	1.245305418	0
18.48142997	1.278488153	0
6.675485304	1.250489492	0
9.265033303	7.711521548	0
20.14362218	1.40828877	0
13.22870929	1.330506228	0
11.64796902	1.288836584	0
13.71345219	1.420214883	0
4.057582812	1.380003496	0
10.49045646	1.259281876	0
16.1257346	1.249272551	0
5.101054637	1.323029891	0
8.37833088	1.358331809	0
17.46518377	1.359814631	0
5.293950469	1.442998275	0
6.175002389	1.229886839	0
7.128820268	1.313580768	0
20.45813664	1.34660145	0
6.359428166	1.427206296	0
2.561497593	1.371069182	0
10.63208928	1.379340278	0
3.519092333	1.409496495	0
9.465362511	1.48124083	0
7.375200414	1.405524168	0
15.05469021	1.657099981	0
12.75173425	1.41380047	0
4.940581116	1.392913139	0
11.18548015	1.583229659	0
5.030800567	1.666667	0
11.8157817	1.527312856	0
0.836331286	1.573534229	0
23.66385642	1.475540104	0
19.56551139	1.484679666	0
14.11966925	1.218390805	0
16.70125396	1.42334028	0
16.44036371	1.390439276	0
12.68353278	1.292658565	0
3.112639295	1.785639958	0
3.208648878	1.374412041	0
6.12375922	1.293216009	0
0.934171344	1.857208029	0
4.152676353	1.509003074	0
4.601387897	1.316546763	0
4.04317924	1.410647572	0
3.078688049	1.520357942	0
7.846500393	1.629054054	0
5.404472515	1.486916951	0
11.31729058	1.574521232	0
14.60135674	1.240709742	0
5.136333433	1.375360646	0
2.243690964	1.659848042	0
3.740191013	1.447173309	0
2.648217674	2.550314465	0
8.705826078	1.454262359	0
4.930909817	1.43407356	0
8.045019431	1.675062972	0
9.282431505	1.694207028	0
4.889986152	1.499133449	0
10.33368668	1.374154966	0
4.168406777	1.51627907	0
4.173726638	1.499337748	0
13.91884161	1.195965951	0
4.312386293	1.356991204	0
2.756340358	1.349311295	0
4.990704128	1.36712793	0
3.400434575	1.586285714	0
2.491184104	1.312249571	0
8.004654999	1.503421728	0
9.552706156	1.430705658	0
7.822331751	1.35549472	0
11.66679325	1.46228168	0
16.73216836	1.413733267	0
6.598967896	1.43821594	0
6.984906957	1.385379061	0
3.743696351	1.312977099	0
8.080243433	1.444971216	0
3.465011384	1.661104718	0
7.535478161	1.558983666	0
2.087226495	1.897196262	0
0.344614059	1.474074074	0
5.56174413	1.591248666	0
2.906641817	1.348428343	0
3.004076692	1.374445788	0
1.641951826	1.571604938	0
5.79648942	1.666666667	0
3.734511465	1.929955291	0
5.995370455	1.57915947	0
4.242497968	1.433871522	0
5.667235835	1.748315983	0
5.048197109	1.485536271	0
5.593674664	1.672183663	0
4.753362899	1.557370518	0
4.160858225	1.620306716	0
3.742938318	1.479229122	0
1.407675747	1.506562956	0
0.96808808	1.387323944	0
4.289925189	1.502466793	0
6.144379797	1.684518014	0
4.487564998	1.64231961	0
8.255171262	1.842105263	0
9.93712844	1.709637815	0
3.009910166	1.669191919	0
2.354414256	1.720344599	0
9.640746872	1.543846987	0
8.544899026	1.374919614	0
7.522243966	1.694444444	0
7.861464435	1.537772087	0
4.617032434	1.731607629	0
3.875665316	1.4784689	0
2.624821855	1.459208262	0
5.767913878	1.672622176	0
4.028326631	2.478483607	0
2.481524187	1.645801527	0
4.503524196	2.144708423	0
4.859900556	1.623848516	0
5.077063413	1.589478628	0
9.733053515	1.467286245	0
8.334059218	1.728667306	0
3.811670513	1.636623748	0
8.877046099	1.614636935	0
5.972678126	1.544811321	0
1.020607917	2.036166365	0
2.071299517	1.902046784	0
1.760716184	1.974449965	0
4.062025153	1.877149877	0
7.421334986	1.765942537	0
5.514222782	2.349527665	0
5.241767049	3.544468547	0
7.020613628	1.8105919	0
2.706629278	2.926211454	0
6.268982401	1.739598278	0
3.578901018	1.778145695	0
3.88643117	1.838777661	0
2.442299265	2.81827112	0
2.702462818	4.116049383	0
5.869008895	1.949706622	0
7.157102459	1.882179676	0
4.060591762	1.976762821	0
7.51410613	2.005516154	0
2.640957713	1.856010568	0
8.781687063	1.64252036	0
10.21199402	1.754065041	0
2.695494482	1.573964497	0
13.33815194	2.073371284	0
1.820514674	1.800315706	0
1.994256097	1.735061195	0
7.880347851	1.740129641	0
8.240766921	1.33909465	0
7.276951065	1.505855856	0
5.617613452	1.609260305	0
6.7515439	1.428053643	0
8.034776915	1.557619409	0
